date,district,grade,highest_price_rs_kg,average_price_rs_kg
12.01.2016,Kalutara,M-5,1300.0,1260.0
12.01.2016,Gampaha,C-4,1250.0,1125.0
12.01.2016,Colombo,C-4,1400.0,1400.0
12.01.2016,Kalutara,M-4,1210.0,1130.0
12.01.2016,Colombo,H-1,1300.0,1300.0
12.01.2016,Colombo,C-5 Sp,1700.0,1700.0
12.01.2016,Colombo,C-5,1600.0,1600.0
12.01.2016,Galle,C-5 Sp,1700.0,1680.0
12.01.2016,Matara,C-5 Sp,1800.0,1683.0
12.01.2016,Galle,C-5,1580.0,1570.0
12.01.2016,Kalutara,H-2,950.0,920.0
12.01.2016,Kalutara,Alba,2000.0,2000.0
12.01.2016,Matara,H-Faq,1330.0,1277.0
12.01.2016,Matara,H-1,1460.0,1457.0
12.01.2016,Gampaha,Gorosu,1000.0,925.0
12.01.2016,Matara,M-4,1480.0,1475.0
12.01.2016,Matara,H-2,1440.0,1410.0
12.01.2016,Matara,Alba,2150.0,2088.0
12.01.2016,Hambantota,C-4,1550.0,1550.0
19.01.2016,Matara,Alba,2150.0,2088.0
19.01.2016,National,Heen,1300.0,1104.0
19.01.2016,Matara,C-5,1600.0,1573.0
19.01.2016,National,H-Faq,1400.0,1327.0
19.01.2016,National,M-4,1490.0,1221.67
19.01.2016,National,H-1,1470.0,1320.2
19.01.2016,Matara,M-4,1490.0,1485.0
19.01.2016,National,C-5,1650.0,1515.17
19.01.2016,Matara,H-2,1450.0,1430.0
19.01.2016,National,C-5 Sp,1800.0,1610.0
19.01.2016,Hambantota,C-5,1600.0,1575.0
19.01.2016,Hambantota,C-4,1550.0,1550.0
19.01.2016,Monaragala,Gorosu,1000.0,967.0
19.01.2016,Hambantota,H-2,1450.0,1425.0
19.01.2016,National,Alba,2150.0,2024.0
19.01.2016,National,C-4,1550.0,1395.57
19.01.2016,Matara,H-Faq,1400.0,1327.0
19.01.2016,Matara,M-5,1500.0,1500.0
19.01.2016,Matara,H-1,1470.0,1460.0
19.01.2016,Matara,C-4,1550.0,1526.0
19.01.2016,Hambantota,H-1,1450.0,1450.0
19.01.2016,Matara,C-5 Sp,1800.0,1717.0
19.01.2016,Galle,H-2,1450.0,1445.0
19.01.2016,National,H-2,1450.0,1285.2
